CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
35001000107,New Mexico,Bernalillo,1,2715,1257,0,0,0,0,0,0,0,0,0,7.7,122679,0,1,0,1,0,0,0,0,196.372675299644,1821.96616908535,196.372675299644,34.4318094179034,351.563344029709,34.4318094179034,1821.96616908535,0.671074095427386,351.563344029709,0.129489261152748,298.129288822412,0.109808209511018,452.728743174113,0.166750918296174,1647.1564585641,0.606687461717902,24.6672044890001,0.009085526515286,39.9114286112599,0.01470034202993,2.16096417244989,0.000795935238471,16.0492109452607,0.005911311582048,92.0209130788571,0.033893522312655,252.619803999783,0.093045968324045,25.8054461614228,0.020529392332079,111.721852689515,0.088879755520697,196.372675299644,0.072328793848856,34.4318094179034,0.012682066083942,32.0111815929412,0.011790490457805,38.9990342929959,0.01436428519079,178.584060668945,0.065776817925947,0.856746166944504,0.000315560282484,8.14610858261585,0.003000408317722,0,0,0.285582058131695,0.000105186761743,8.50017780065536,0.003130820552728,23.5566390193998,0.008676478460184,3.94980267714709,0.003142245566545,11.3305967655032,0.009013999017902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,467,621,2386,60,52,3,71,143,426,58,170
35001000108,New Mexico,Bernalillo,1,2683,1238,0,38,0.0141633,0,0,0,0,0,0,14.1999999999999,64750,0,0,0,0,0,0,0,0,0,179.700272321701,0,0,45.5357006788253,0,179.700272321701,0.066977365755386,45.5357006788253,0.016971934654799,29.7204205393791,0.011077309183518,43.3427054733037,0.016154567824563,159.009432554245,0.05926553580106,2.33594167232513,0.000870645423901,3.91517302393913,0.001459251965687,0,0,4.33648782595992,0.001616283200134,10.1032363027334,0.003765649013318,28.0859203934669,0.010468103016574,3.54184905439615,0.002860944308882,3.76097246631979,0.003037942218352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,507,487,2200,79,94,0,110,200,568,109,58
35001000109,New Mexico,Bernalillo,1,2577,1024,0,6,0.0023283,0,0,0,0,0,0,5.8,66768,0,1,0,1,0,0,0,0,0,1519.89968678355,0,0,622.930755831301,0,1519.89968678355,0.589794212954425,622.930755831301,0.241727107423865,324.115764930844,0.125772512584728,265.483776796609,0.103020479936596,1189.05698615312,0.461411325631791,34.9362915456295,0.013556962183015,50.1190855503082,0.019448616822006,0.550617575645447,0.000213666113949,70.1702833697199,0.027229446398805,175.066415637731,0.067934193107385,436.279389113187,0.169297395853003,38.9174659550189,0.038005337846698,92.6957039628177,0.090523148401189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941,545,545,2114,48,78,1,89,247,663,37,145
35001000110,New Mexico,Bernalillo,1,3561,1735,0,0,0,0,1,0,0,0,1,23.3,45908,0,1,0,1,0,0,0,0,0,1187.51259893924,0,0,430.87009046413,0,1187.51259893924,0.333477281364572,430.87009046413,0.120996936384198,244.023027052171,0.06852654508626,212.54609671235,0.059687193685018,952.035882744938,0.267350711245419,51.0332767998334,0.014331164504306,18.5393369682133,0.005206216503289,3.29101061820983,0.000924181583322,47.9660341143608,0.013469821430598,114.647058591246,0.03219518634969,324.243113878183,0.091053949418192,32.7958005033433,0.018902478676279,79.9379698659759,0.046073757847825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1726,673,589,2730,142,61,5,131,492,1016,130,259
35001000111,New Mexico,Bernalillo,1,2807,1133,0,8,0.00285,0,0,0,0,0,0,13.1999999999999,73750,0,1,0,1,0,0,0,0,0,1409.34701265487,0,0,278.030105136451,0,1409.34701265487,0.502083011277121,278.030105136451,0.099048844010136,336.755946967168,0.119970055919903,219.875924371182,0.078331287627782,1144.69019416533,0.40779843041159,49.9022612422704,0.017777791678757,72.0356664367427,0.025662866561006,0,0,23.8206432114457,0.00848615718256,118.898246634635,0.042357765099621,357.848307368578,0.127484256276658,5.83531784772276,0.00515032466701,57.9083733748993,0.051110656112003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,621,513,2361,81,120,0,31,214,700,25,119
35001000112,New Mexico,Bernalillo,1,2080,967,0,0,0,0,0,0,0,0,0,7.3,101711,1,1,1,1,1,0,0,0,1738.09352982044,2079.99997437,1738.09352982044,226.356231864076,307.41163843451,226.356231864076,2079.99997437,0.999999987677886,307.41163843451,0.147794056939669,354.000000058673,0.170192307720516,433.999996088445,0.208653844273291,1847.99999690055,0.888461536971422,34.9999998677521,0.016826923013342,55.000000193715,0.02644230778544,1,0.000480769230769,41.0000001345761,0.019711538526239,99.9999989485368,0.048076922571412,317.999998382758,0.152884614607095,8.95588203147053,0.009261511924995,67.2305897125042,0.069524911801969,1738.09352982044,0.835621889336751,226.356231864076,0.108825111473114,280.448500691913,0.134831009948035,379.857128046453,0.182623619253102,1550.03640818595,0.745209811627865,28.9206105042248,0.013904139665493,43.9193155318498,0.021115055544159,0.817068532109261,0.000392821409668,33.421845451463,0.016068194928588,80.9782893275842,0.038931869869031,253.167704872321,0.121715242727078,6.80751259997487,0.007039826887254,57.0737561830319,0.059021464511925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,354,434,1848,35,55,1,41,100,318,8,60
35001000113,New Mexico,Bernalillo,1,3157,1380,0,0,0,0,0,0,0,0,0,11.8,55804,0,1,0,1,0,0,0,0,39.8069343566894,1480.16971059399,39.8069343566894,15.5006113052368,575.956102818134,15.5006113052368,1480.16971059399,0.468853250108963,575.956102818134,0.18243778993289,302.216443908051,0.095728997120067,195.657107012491,0.061975643652991,1176.05320108076,0.372522395020832,77.9888801473716,0.02470347803211,31.8227396011352,0.010080056889812,2.95895394682884,0.000937267642328,51.7886008983477,0.016404371523075,139.557337504957,0.044205681819752,421.639739278529,0.133557091947586,36.2234586904814,0.026248883109045,77.765027448826,0.056351469165816,39.8069343566894,0.012609101791793,15.5006113052368,0.004909918056774,9.29796981811523,0.002945191580017,9.87909317016601,0.003129266129289,37.1918792724609,0.01178076632007,0,0,1.4528077840805,0.000460186184378,0,0,0.581123113632202,0.000184074473751,0.581123113632202,0.000184074473751,11.622462272644,0.003681489475022,1.08569109439849,0.0007867326771,2.15336298942565,0.001560407963352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,697,425,2525,135,64,3,119,311,956,48,157
35001000114,New Mexico,Bernalillo,1,3197,1308,0,4,0.0012512,0,0,0,0,0,0,9.19999999999999,63629,0,0,0,0,0,0,0,0,0,355.703313022851,0,0,126.138877704739,0,355.703313022851,0.111261593063138,126.138877704739,0.039455388709646,75.2113367170095,0.023525597972164,36.1619617864489,0.011311217324507,285.853925973176,0.089413176719793,8.91575956577435,0.002788789354324,3.59707070328295,0.001125139412976,0,0,12.8093118220567,0.00400666619395,44.527247749269,0.013927822255011,115.6934735924,0.036188136875946,7.36415292113088,0.00563008633114,18.1620602756738,0.013885367183237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,708,375,2470,83,48,4,146,446,1213,68,162
35001000115,New Mexico,Bernalillo,1,3269,1449,0,8,0.0024472,0,0,0,0,0,1,24.1,46985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1665,744,427,2318,163,40,4,212,532,1117,145,295
35001000116,New Mexico,Bernalillo,1,2908,1231,0,10,0.0034388,0,0,0,0,0,0,12.8,66442,0,1,0,1,0,0,0,0,195.986198544502,1863.17655241489,195.986198544502,45.3571489453315,500.501683667302,45.3571489453315,1863.17655241489,0.64070720509453,500.501683667302,0.172111995759045,377.156212449073,0.129696084060892,382.379325203597,0.131492202614717,1564.3821196556,0.537958087914584,40.5823024334385,0.013955399736396,33.4176422385498,0.011491623878456,1.42854346660897,0.00049124603391,31.9450158355757,0.010985218650473,191.420947059988,0.065825635165058,512.883527696132,0.176369851339798,0,0,95.5996834728866,0.077660181537682,195.986198544502,0.067395529073075,45.3571489453315,0.015597368963319,36.0480276197195,0.012396158053549,57.6517996788024,0.019825240604815,174.145565152168,0.059884994894143,3.84882122371345,0.001323528618884,1.81413126643747,0.000623841563424,0.382685122545809,0.000131597359885,2.094790013507,0.000720354199968,13.7002095729112,0.004711213745843,44.8357285559177,0.015418063464896,0,0,10.6977023854851,0.008690253765626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929,612,549,2363,83,73,2,52,335,874,0,150
